renglon,año,ent,id_ent,cvegeo,pob,pobh,pobm,nac,defs,emigintnal,inmigintnal,emigest,inmigest,crecnat,crecsoct,crect,e0h,e0m,e0,mnest,mnintnal,tmih,tmim,tmi,tbm,tbn,tcn,tcs,tc,temigest,tinmigest,tmnetest,tmnetintnal,tgf
1,1990,Aguascalientes,1,1,824227,410078,414149,26101,3627,6997,434,6957,10318,22474,-3202,19272,69.70148111,75.37192131,72.4675495,3361,-6563,31.96804308,26.01036233,29.06185735,4.400486759,31.66724701,2.726676025,-0.388485211,2.338190814,0.844063589,1.251839602,0.407776013,-0.796261224,3.858969931
2,1991,Aguascalientes,1,1,844162,419539,424623,26427,3650,7257,465,7036,10438,22777,-3390,19387,70.06150767,75.68263356,72.8035203,3402,-6792,30.24129057,24.60541369,27.49208234,4.323814623,31.30560248,2.698178786,-0.401581687,2.296597099,0.833489307,1.236492522,0.403003215,-0.804584902,3.758964853
3,1992,Aguascalientes,1,1,863697,428824,434873,26682,3693,7619,526,7111,10524,22989,-3680,19309,70.38988779,75.944436,73.0994235,3413,-7093,28.61256318,23.28022186,26.01142107,4.275805057,30.89277837,2.661697331,-0.426075348,2.235621983,0.823321142,1.218482871,0.395161729,-0.821237077,3.66580318
4,1993,Aguascalientes,1,1,882995,437956,445039,26893,3743,8004,594,7175,10601,23150,-3984,19166,70.68845173,76.16542547,73.36014624,3426,-7410,27.07983385,22.03313754,24.61803077,4.238982101,30.4565711,2.6217589,-0.451191683,2.170567217,0.812575383,1.20057305,0.387997667,-0.83918935,3.576983398
5,1994,Aguascalientes,1,1,902128,446910,455218,27034,3790,8421,697,7229,10668,23244,-4285,18959,70.95907118,76.3524666,73.58999577,3439,-7724,25.64057055,20.86210058,23.30960959,4.20117766,29.96692265,2.576574499,-0.474988028,2.101586471,0.801327528,1.18253729,0.381209762,-0.85619779,3.487992569
6,1995,Aguascalientes,1,1,921048,455624,465424,27147,3851,8881,787,7276,10712,23296,-4658,18638,71.20359579,76.51142578,73.79278115,3436,-8094,24.29182462,19.76471185,22.08347693,4.181106739,29.47403393,2.529292719,-0.505728257,2.023564461,0.789969687,1.163022991,0.373053304,-0.878781562,3.40376337
7,1996,Aguascalientes,1,1,939507,463900,475607,27211,3921,9396,867,7304,10735,23290,-5098,18192,71.42380854,76.64740486,73.9719043,3431,-8529,23.03031446,18.73830131,20.93664951,4.173465445,28.96306254,2.47895971,-0.542625015,1.936334695,0.777429013,1.142620545,0.365191531,-0.907816546,3.323200548
8,1997,Aguascalientes,1,1,957443,471734,485709,27234,3994,9866,968,7321,10742,23240,-5477,17763,71.62139571,76.76494721,74.13044522,3421,-8898,21.85250329,17.77999131,19.86591208,4.171527705,28.44451315,2.427298544,-0.572044498,1.855254046,0.764640819,1.121946685,0.357305866,-0.929350363,3.247091248
9,1998,Aguascalientes,1,1,974940,479142,495798,27222,4075,10263,1103,7335,10721,23147,-5774,17373,71.79792815,76.86820526,74.27123406,3386,-9160,20.75467023,16.88675441,18.86788203,4.179744395,27.92171826,2.374197387,-0.592241574,1.781955813,0.752353991,1.099657415,0.347303424,-0.939544998,3.173721441
10,1999,Aguascalientes,1,1,991858,486186,505672,27205,4160,10617,1261,7325,10686,23045,-5995,17050,71.9548508,76.96106578,74.39690689,3361,-9356,19.73297394,16.05546516,17.93906722,4.194148759,27.42832139,2.323417263,-0.604421197,1.718996066,0.738512973,1.077371963,0.33885899,-0.943280187,3.10877258
11,2000,Aguascalientes,1,1,1008447,493483,514964,27206,4249,10530,1442,7392,10639,22957,-5841,17116,72.09347822,77.04723237,74.50994366,3247,-9088,18.7835089,15.28294588,17.07591718,4.213409331,26.97811586,2.276470652,-0.579207435,1.697263218,0.733008279,1.054988512,0.321980233,-0.901187668,3.0557912
12,2001,Aguascalientes,1,1,1025563,501308,524255,27226,4339,9952,1600,7526,10579,22887,-5299,17588,72.21499426,77.13026534,74.61268747,3053,-8352,17.90235414,14.56600632,16.2748674,4.230846862,26.54736959,2.231652273,-0.516691807,1.714960466,0.733840827,1.031530974,0.297690147,-0.814381954,3.009442005
13,2002,Aguascalientes,1,1,1043783,509490,534293,27292,4446,9423,1765,7657,10516,22846,-4799,18047,72.32045451,77.21357957,74.70734478,2859,-7658,17.08561485,13.90147754,15.53237714,4.259506047,26.14719726,2.188769122,-0.459769895,1.728999227,0.733581597,1.007489105,0.273907508,-0.733677402,2.966539387
14,2003,Aguascalientes,1,1,1062250,517735,544515,27339,4550,9505,1949,7783,10434,22789,-4905,17884,72.4208609,77.29653615,74.79923907,2651,-7556,16.32945724,13.28624021,14.84496113,4.283360791,25.73687927,2.145351847,-0.461755707,1.68359614,0.732690045,0.982254648,0.249564603,-0.711320311,2.923048609
15,2004,Aguascalientes,1,1,1079814,525688,554126,27306,4670,9662,2130,7915,10361,22636,-5086,17550,72.51694955,77.37574608,74.8870942,2446,-7532,15.63013702,12.71724785,14.20921547,4.324818904,25.28768844,2.096286953,-0.471007044,1.625279909,0.732996609,0.959517102,0.226520493,-0.697527537,2.879080784
16,2005,Aguascalientes,1,1,1096736,533423,563313,27086,4773,9245,2322,8031,10284,22313,-4670,17643,72.6089811,77.45143696,74.97115469,2253,-6923,14.98402225,12.19154538,13.62183841,4.352004493,24.69691886,2.034491436,-0.425808946,1.608682491,0.732263735,0.937691477,0.205427742,-0.631236688,2.818479607
17,2006,Aguascalientes,1,1,1114099,541404,572695,26799,4895,8085,2516,8137,10218,21904,-3488,18416,72.69720735,77.52382861,75.05165675,2081,-5569,14.38761107,11.70628355,13.07964643,4.393684942,24.05441527,1.966073033,-0.313078102,1.652994931,0.730365973,0.917153682,0.186787709,-0.499865811,2.748802823
18,2007,Aguascalientes,1,1,1133032,550419,582613,26690,5020,6692,2729,8249,10144,21670,-2068,19602,72.78187032,77.59313219,75.12882733,1895,-3963,13.83754483,11.25872966,12.57958621,4.43058978,23.55626319,1.912567341,-0.182519117,1.730048225,0.728046516,0.895296867,0.167250351,-0.349769468,2.695032092
19,2008,Aguascalientes,1,1,1154011,560885,593126,26683,5215,5548,2937,8383,10082,21468,-912,20556,72.63527277,77.60263977,75.05837862,1699,-2611,13.3306174,10.84627506,12.11874309,4.519021049,23.12196331,1.860294226,-0.079028709,1.781265517,0.726422885,0.873648518,0.147225633,-0.226254342,2.649256934
